Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
11.0,2.0,2.0,2.0,2.0,2.0,578005.7782,4464850.024,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577602.9087,4464842.191,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577602.9087,4464842.191,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577609.7624,4464440.047,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577616.6161,4464037.904,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577622.8667,4463631.989,4301353984.0
11.0,2.0,2.0,2.0,2.0,2.0,577629.1174,4463226.074,4301353984.0
1.0,3.0,2.0,2.0,2.0,2.0,579355.1686,4455237.794,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579756.5978,4455251.658,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580155.7903,4455266.154,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580959.9389,4455294.833,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580959.9389,4455294.833,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580959.9389,4455294.833,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580947.0025,4455697.278,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580933.0813,4456099.62,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580907.1789,4456905.309,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580907.1789,4456905.309,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580907.1789,4456905.309,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580506.0469,4456887.89,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,580105.0648,4456875.861,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579297.5999,4456848.53,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579297.5999,4456848.53,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579297.5999,4456848.53,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579297.5999,4456848.53,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579355.1694,4455237.794,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579355.1694,4455237.794,4301353824.0
1.0,3.0,2.0,2.0,2.0,2.0,579355.1694,4455237.794,4301353824.0
23.0,4.0,2.0,2.0,1.0,2.0,607024.1815,4441227.238,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607024.1815,4441227.238,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607832.8931,4441257.983,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608237.2739,4441273.381,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608610.9438,4441287.612,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608610.9438,4441287.612,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608599.1303,4441519.945,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608591.9248,4441918.357,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608575.909,4442331.813,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608559.8764,4442745.286,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608559.8764,4442745.286,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,608138.0786,4442718.638,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607736.8833,4442697.811,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607335.6946,4442676.973,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,606968.8909,4442658.256,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,606968.8909,4442658.256,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,606984.6647,4442249.461,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,606993.1239,4442030.232,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607024.1629,4441227.236,4304756706.0
23.0,4.0,2.0,2.0,1.0,2.0,607024.1629,4441227.236,4304756706.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8721,4451951.522,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574986.2075,4451953.804,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575382.7639,4451966.549,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575783.9596,4451980.937,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576168.8598,4452402.525,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576152.5642,4452809.726,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576136.2687,4453216.927,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575716.8358,4453608.4,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575313.6986,4453592.672,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574910.5613,4453576.945,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574526.4148,4453158.31,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574545.4057,4452755.403,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574564.1381,4452353.461,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8706,4451951.519,4301353695.0
16.0,2.0,2.0,1.0,2.0,2.0,584096.7198,4461725.16,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584096.7198,4461725.16,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584900.9254,4461754.789,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584900.9254,4461754.789,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585705.2668,4461784.459,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585705.2668,4461784.459,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585674.6688,4462588.671,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585674.6688,4462588.671,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585643.9353,4463392.752,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585643.9353,4463392.752,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585643.9353,4463392.752,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,585241.9758,4463379.697,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584839.9253,4463366.166,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584437.8749,4463352.636,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584033.5555,4463335.774,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584033.5555,4463335.774,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584033.5555,4463335.774,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584064.3286,4462529.531,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584080.5283,4462127.07,4301353974.0
16.0,2.0,2.0,1.0,2.0,2.0,584096.7123,4461724.709,4301353974.0
31.0,2.0,2.0,2.0,2.0,2.0,571277.8509,4456723.904,4301354118.0
