Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
3,8,2,20,1,1,614576.7232,4446269.313,40.158970976927066,-109.65461467846859,0308S20ES,V.1
3,8,2,20,1,1,614175.6875,4446268.096,40.15901463006803,-109.65932272332846,0308S20ES,V.1
3,8,2,20,1,1,613774.6518,4446266.879,40.15905809181718,-109.6640307795142,0308S20ES,V.1
3,8,2,20,1,1,613774.6518,4446266.879,40.15905809181718,-109.6640307795142,0308S20ES,V.1
3,8,2,20,1,1,613780.0808,4445854.758,40.1553453400889,-109.66403980813557,0308S20ES,V.1
3,8,2,20,1,1,613785.2905,4445453.669,40.15173198218015,-109.66404945704213,0308S20ES,V.1
3,8,2,20,1,1,613788.5083,4445049.456,40.14809075359003,-109.66408303057703,0308S20ES,V.1
3,8,2,20,1,1,613791.7262,4444645.243,40.14444952268395,-109.6641165939784,0308S20ES,V.1
21,9,2,21,1,1,622344.1661,4430341.686,40.01441790383938,-109.56644683290752,2109S21ES,V.1
21,9,2,21,1,1,622344.1661,4430341.686,40.01441790383938,-109.56644683290752,2109S21ES,V.1
21,9,2,21,1,1,623147.4955,4430352.857,40.01440171177163,-109.5570346053279,2109S21ES,V.1
21,9,2,21,1,1,623949.3857,4430347.597,40.01423697435739,-109.5476424014029,2109S21ES,V.1
21,9,2,21,1,1,623949.3857,4430347.597,40.01423697435739,-109.5476424014029,2109S21ES,V.1
21,9,2,21,1,1,623949.3857,4430347.597,40.01423697435739,-109.5476424014029,2109S21ES,V.1
21,9,2,21,1,1,623949.3857,4430347.597,40.01423697435739,-109.5476424014029,2109S21ES,V.1
21,9,2,21,1,1,623954.8133,4431153.57,40.02149547417285,-109.54742488187725,2109S21ES,V.1
21,9,2,21,1,1,623955.5641,4431960.165,40.02876025328768,-109.54726196881329,2109S21ES,V.1
21,9,2,21,1,1,623955.5641,4431960.165,40.02876025328768,-109.54726196881329,2109S21ES,V.1
21,9,2,21,1,1,623955.5641,4431960.165,40.02876025328768,-109.54726196881329,2109S21ES,V.1
21,9,2,21,1,1,623955.5641,4431960.165,40.02876025328768,-109.54726196881329,2109S21ES,V.1
21,9,2,21,1,1,623150.6163,4431958.588,40.02886392263974,-109.55669328417534,2109S21ES,V.1
21,9,2,21,1,1,622344.5148,4431958.768,40.0289828170744,-109.56613783681446,2109S21ES,V.1
21,9,2,21,1,1,622344.5148,4431958.768,40.0289828170744,-109.56613783681446,2109S21ES,V.1
21,9,2,21,1,1,622344.5148,4431958.768,40.0289828170744,-109.56613783681446,2109S21ES,V.1
21,9,2,21,1,1,622344.5148,4431958.768,40.0289828170744,-109.56613783681446,2109S21ES,V.1
21,9,2,21,1,1,622344.704,4431145.428,40.021657088277735,-109.56628900865967,2109S21ES,V.1
21,9,2,21,1,1,622344.1663,4430341.689,40.014417930831264,-109.56644682999926,2109S21ES,V.1
21,9,2,21,1,1,622344.1663,4430341.689,40.014417930831264,-109.56644682999926,2109S21ES,V.1
26,3,2,4,2,2,558488.2459,4448530.13,40.18511810351987,-110.31294645614766,2603S04WU,V.1
26,3,2,4,2,2,558488.2459,4448530.13,40.18511810351987,-110.31294645614766,2603S04WU,V.1
26,3,2,4,2,2,559299.5136,4448534.0,40.185096022391406,-110.30341690871063,2603S04WU,V.1
26,3,2,4,2,2,560110.7722,4448537.882,40.18507326561404,-110.29388748462173,2603S04WU,V.1
26,3,2,4,2,2,560110.7722,4448537.882,40.18507326561404,-110.29388748462173,2603S04WU,V.1
26,3,2,4,2,2,560110.7722,4448537.882,40.18507326561404,-110.29388748462173,2603S04WU,V.1
