Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
16.0,7.0,2.0,22.0,1.0,1.0,631505.8981,4453190.014,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631505.8981,4453190.014,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631505.8981,4453190.014,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631505.8981,4453190.014,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631511.3223,4452385.113,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631511.3223,4452385.113,4304756603.0
16.0,7.0,2.0,22.0,1.0,1.0,631511.3223,4452385.113,4304756603.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8721,4451951.522,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574986.2075,4451953.804,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575382.7639,4451966.549,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575783.9596,4451980.937,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576185.1553,4451995.324,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576168.8598,4452402.525,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576152.5642,4452809.726,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576136.2687,4453216.927,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,576119.9731,4453624.128,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575716.8358,4453608.4,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,575313.6986,4453592.672,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574910.5613,4453576.945,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574507.424,4453561.217,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574526.4148,4453158.31,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574545.4057,4452755.403,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574564.1381,4452353.461,4301353695.0
16.0,3.0,2.0,2.0,2.0,2.0,574582.8706,4451951.519,4301353695.0
