Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API
22.0,2.0,2.0,3.0,2.0,2.0,566829.1882,4461521.721,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566416.1236,4461123.174,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566407.0611,4460722.8,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566406.0687,4460322.207,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566405.0763,4459921.614,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566405.0759,4459921.616,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566807.8435,4459919.94,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567210.6111,4459918.265,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567613.3787,4459916.59,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.1463,4459914.914,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.1463,4459914.914,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.432,4460313.09,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568016.7177,4460711.265,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568028.9562,4461113.752,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568041.1947,4461516.238,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,568041.1947,4461516.238,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567637.1925,4461518.066,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,567233.1904,4461519.893,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566829.1882,4461521.721,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566425.186,4461523.548,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566416.1236,4461123.174,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566407.0611,4460722.8,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566406.0687,4460322.207,4301353789.0
22.0,2.0,2.0,3.0,2.0,2.0,566405.0763,4459921.614,4301353789.0
31.0,3.0,2.0,2.0,1.0,2.0,600321.6966,4447452.415,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600729.063,4447448.07,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601132.1799,4447443.16,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601535.6078,4447439.399,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601940.5065,4447435.169,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601940.5065,4447435.169,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601939.6577,4447838.561,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601940.3743,4448241.314,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601943.3332,4448644.426,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601944.3107,4449047.657,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601944.3107,4449047.657,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601540.6119,4449049.823,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,601139.1702,4449056.712,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600737.7284,4449063.6,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600327.0526,4449070.647,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600327.0526,4449070.647,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600320.7884,4448661.922,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600321.3299,4448258.708,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600323.0884,4447854.791,4304756485.0
31.0,3.0,2.0,2.0,1.0,2.0,600321.7308,4447452.442,4304756485.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.5558,4456725.873,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571643.1263,4456727.561,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572045.7834,4456729.359,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572448.4405,4456731.157,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572851.0976,4456732.955,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572851.0976,4456732.955,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572851.0976,4456732.955,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.8549,4457527.493,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.4333,4458340.272,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.4333,4458340.272,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.4333,4458340.272,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.4333,4458340.272,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,572850.4333,4458340.272,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.8332,4458334.737,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.8332,4458334.737,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.8332,4458334.737,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.8332,4458334.737,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571267.3551,4457531.424,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.6638,4456725.875,4301354117.0
31.0,2.0,2.0,2.0,2.0,2.0,571266.6638,4456725.875,4301354117.0
12.0,3.0,2.0,5.0,2.0,2.0,550349.4078,4453167.912,4301353928.0
