,FID_Bounded_groups3_1,Field3_1,POINT_X,POINT_Y
103,17,Fairy Springs,-110.860307,44.54372169
104,17,Fairy Springs,-110.8602448,44.54366833
105,17,Fairy Springs,-110.8601905,44.54361068
106,17,Fairy Springs,-110.8601448,44.54354934
107,17,Fairy Springs,-110.8601082,44.54348497
108,17,Fairy Springs,-110.8600811,44.54341825
109,17,Fairy Springs,-110.8600637,44.54334989
110,17,Fairy Springs,-110.8600562,44.5432806
111,17,Fairy Springs,-110.8600587,44.54321114
112,17,Fairy Springs,-110.8600711,44.54314222
113,17,Fairy Springs,-110.8600935,44.54307459
114,17,Fairy Springs,-110.8601254,44.54300896
115,17,Fairy Springs,-110.8601666,44.54294603
116,17,Fairy Springs,-110.8602166,44.54288645
117,17,Fairy Springs,-110.8602749,44.54283087
118,17,Fairy Springs,-110.8603409,44.54277988
119,17,Fairy Springs,-110.8604139,44.542734
120,17,Fairy Springs,-110.8604931,44.54269374
121,17,Fairy Springs,-110.8605777,44.54265951
122,17,Fairy Springs,-110.8606667,44.54263169
123,17,Fairy Springs,-110.8607593,44.54261056
124,17,Fairy Springs,-110.8608544,44.54259634
125,17,Fairy Springs,-110.860951,44.5425892
126,18,Firehole Lake Group,-110.7885561,44.54316447
127,18,Firehole Lake Group,-110.7886533,44.54316447
128,18,Firehole Lake Group,-110.7887499,44.54317161
129,18,Firehole Lake Group,-110.788845,44.54318583
130,18,Firehole Lake Group,-110.7889376,44.54320696
131,18,Firehole Lake Group,-110.7890266,44.54323478
132,18,Firehole Lake Group,-110.7891112,44.54326901
133,18,Firehole Lake Group,-110.7891904,44.54330927
134,18,Firehole Lake Group,-110.7892634,44.54335515
135,18,Firehole Lake Group,-110.7893294,44.54340614
136,18,Firehole Lake Group,-110.7893877,44.54346172
137,18,Firehole Lake Group,-110.7894377,44.5435213
138,18,Firehole Lake Group,-110.7894789,44.54358423
139,18,Firehole Lake Group,-110.7895108,44.54364986
140,18,Firehole Lake Group,-110.7900908,44.54491253
141,18,Firehole Lake Group,-110.7901131,44.54498017
142,18,Firehole Lake Group,-110.7901256,44.54504908
143,18,Firehole Lake Group,-110.7901281,44.54511854
144,18,Firehole Lake Group,-110.7901206,44.54518783
145,18,Firehole Lake Group,-110.7901031,44.54525619
146,18,Firehole Lake Group,-110.790076,44.54532291
147,18,Firehole Lake Group,-110.7900394,44.54538728
148,18,Firehole Lake Group,-110.7899937,44.54544862
149,18,Firehole Lake Group,-110.7899395,44.54550627
150,18,Firehole Lake Group,-110.7898772,44.54555963
151,18,Firehole Lake Group,-110.7898076,44.54560813
152,18,Firehole Lake Group,-110.7897314,44.54565125
153,18,Firehole Lake Group,-110.7896495,44.54568855
154,18,Firehole Lake Group,-110.7895625,44.54571962
155,18,Firehole Lake Group,-110.7894716,44.54574413
156,18,Firehole Lake Group,-110.7893777,44.54576183
157,18,Firehole Lake Group,-110.7892816,44.54577252
158,18,Firehole Lake Group,-110.7891846,44.5457761
159,18,Firehole Lake Group,-110.7890876,44.54577252
160,18,Firehole Lake Group,-110.7889915,44.54576183
161,18,Firehole Lake Group,-110.7888976,44.54574413
162,18,Firehole Lake Group,-110.7838851,44.54473323
163,18,Firehole Lake Group,-110.7837942,44.54470872
164,18,Firehole Lake Group,-110.7837072,44.54467765
165,18,Firehole Lake Group,-110.7836253,44.54464036
166,18,Firehole Lake Group,-110.7835491,44.54459723
167,18,Firehole Lake Group,-110.7834795,44.54454873
168,18,Firehole Lake Group,-110.7834172,44.54449537
169,18,Firehole Lake Group,-110.783363,44.54443772
170,18,Firehole Lake Group,-110.7833173,44.54437638
171,18,Firehole Lake Group,-110.7832807,44.54431201
172,18,Firehole Lake Group,-110.7832536,44.54424529
173,18,Firehole Lake Group,-110.7832362,44.54417693
174,18,Firehole Lake Group,-110.7832287,44.54410764
175,18,Firehole Lake Group,-110.7832312,44.54403818
176,18,Firehole Lake Group,-110.7832436,44.54396927
177,18,Firehole Lake Group,-110.783266,44.54390163
178,18,Firehole Lake Group,-110.7832979,44.543836
179,18,Firehole Lake Group,-110.7833391,44.54377307
180,18,Firehole Lake Group,-110.7833891,44.54371349
181,18,Firehole Lake Group,-110.7834474,44.54365791
182,18,Firehole Lake Group,-110.7835134,44.54360692
183,18,Firehole Lake Group,-110.7835864,44.54356104
184,18,Firehole Lake Group,-110.7838305,44.5434199
185,18,Firehole Lake Group,-110.7839097,44.54337964
186,18,Firehole Lake Group,-110.7839943,44.54334541
187,18,Firehole Lake Group,-110.7840833,44.54331759
188,18,Firehole Lake Group,-110.7841759,44.54329646
189,18,Firehole Lake Group,-110.784271,44.54328224
190,18,Firehole Lake Group,-110.7843676,44.5432751
191,18,Firehole Lake Group,-110.7885561,44.54316447
192,20,Fountain Group,-110.8065844,44.54895137
193,20,Fountain Group,-110.8066816,44.54895137
194,20,Fountain Group,-110.8067782,44.54895851
195,20,Fountain Group,-110.8102162,44.54930711
196,20,Fountain Group,-110.8103114,44.54932133
197,20,Fountain Group,-110.8104039,44.54934246
198,20,Fountain Group,-110.810493,44.54937029
199,20,Fountain Group,-110.8105776,44.54940451
200,20,Fountain Group,-110.8106568,44.54944477
201,20,Fountain Group,-110.8107298,44.54949065
202,20,Fountain Group,-110.8107958,44.54954164
203,20,Fountain Group,-110.8108541,44.54959722
204,20,Fountain Group,-110.8115283,44.55031292
205,20,Fountain Group,-110.8115783,44.5503725
206,20,Fountain Group,-110.8116195,44.55043543
207,20,Fountain Group,-110.8116514,44.55050106
208,20,Fountain Group,-110.8116738,44.5505687
209,20,Fountain Group,-110.8116862,44.55063761
210,20,Fountain Group,-110.8116888,44.55070707
211,20,Fountain Group,-110.8116813,44.55077636
212,20,Fountain Group,-110.8116638,44.55084472
213,20,Fountain Group,-110.8116367,44.55091144
214,20,Fountain Group,-110.8116001,44.55097581
215,20,Fountain Group,-110.8115544,44.55103715
216,20,Fountain Group,-110.8115001,44.5510948
217,20,Fountain Group,-110.8114379,44.55114816
218,20,Fountain Group,-110.8113683,44.55119666
219,20,Fountain Group,-110.810407,44.55185279
220,20,Fountain Group,-110.8103308,44.55189591
221,20,Fountain Group,-110.8095069,44.55235367
222,20,Fountain Group,-110.8094249,44.55239097
223,20,Fountain Group,-110.809338,44.55242204
224,20,Fountain Group,-110.8092471,44.55244655
225,20,Fountain Group,-110.8091531,44.55246425
226,20,Fountain Group,-110.8090571,44.55247494
227,20,Fountain Group,-110.80896,44.55247852
228,20,Fountain Group,-110.8088629,44.55247494
229,20,Fountain Group,-110.8087669,44.55246425
230,20,Fountain Group,-110.8086729,44.55244655
231,20,Fountain Group,-110.805697,44.55185796
232,20,Fountain Group,-110.805606,44.55183345
233,20,Fountain Group,-110.8055191,44.55180238
234,20,Fountain Group,-110.8054371,44.55176508
235,20,Fountain Group,-110.8053609,44.55172196
236,20,Fountain Group,-110.8052913,44.55167346
237,20,Fountain Group,-110.805229,44.5516201
238,20,Fountain Group,-110.8051748,44.55156245
239,20,Fountain Group,-110.8051291,44.55150111
240,20,Fountain Group,-110.8050925,44.55143674
241,20,Fountain Group,-110.8050654,44.55137002
242,20,Fountain Group,-110.8050479,44.55130166
243,20,Fountain Group,-110.8049112,44.55027282
244,20,Fountain Group,-110.8049037,44.55020353
245,20,Fountain Group,-110.8049062,44.55013407
246,20,Fountain Group,-110.8049186,44.55006516
247,20,Fountain Group,-110.804941,44.54999752
248,20,Fountain Group,-110.8049729,44.54993189
249,20,Fountain Group,-110.8050141,44.54986896
250,20,Fountain Group,-110.8050641,44.54980938
251,20,Fountain Group,-110.8051224,44.5497538
252,20,Fountain Group,-110.8051884,44.54970281
253,20,Fountain Group,-110.8059743,44.54914205
254,20,Fountain Group,-110.8060472,44.54909617
255,20,Fountain Group,-110.8061264,44.54905591
256,20,Fountain Group,-110.806211,44.54902169
257,20,Fountain Group,-110.8063001,44.54899386
258,20,Fountain Group,-110.8063926,44.54897273
259,20,Fountain Group,-110.8064878,44.54895851
260,20,Fountain Group,-110.8065844,44.54895137
261,28,Imperial Group,-110.8733705,44.53106696
262,28,Imperial Group,-110.8734677,44.53106696
263,28,Imperial Group,-110.8763178,44.53109747
264,28,Imperial Group,-110.8764144,44.53110461
265,28,Imperial Group,-110.8765095,44.53111882
266,28,Imperial Group,-110.876602,44.53113996
267,28,Imperial Group,-110.8766911,44.53116778
268,28,Imperial Group,-110.8767756,44.53120201
269,28,Imperial Group,-110.8768548,44.53124227
270,28,Imperial Group,-110.8769277,44.53128815
271,28,Imperial Group,-110.8769937,44.53133914
272,28,Imperial Group,-110.877052,44.53139472
273,28,Imperial Group,-110.8771021,44.5314543
274,28,Imperial Group,-110.8771432,44.53151723
275,28,Imperial Group,-110.8771752,44.53158286
276,28,Imperial Group,-110.8771975,44.53165049
277,28,Imperial Group,-110.8772099,44.53171941
278,28,Imperial Group,-110.8772124,44.53178887
279,28,Imperial Group,-110.8772049,44.53185816
280,28,Imperial Group,-110.8771875,44.53192652
281,28,Imperial Group,-110.8771604,44.53199324
282,28,Imperial Group,-110.8771238,44.53205761
283,28,Imperial Group,-110.8770781,44.53211895
284,28,Imperial Group,-110.8770239,44.5321766
285,28,Imperial Group,-110.8769617,44.53222996
286,28,Imperial Group,-110.8768921,44.53227846
287,28,Imperial Group,-110.8768159,44.53232159
288,28,Imperial Group,-110.876734,44.53235888
289,28,Imperial Group,-110.8766471,44.53238995
290,28,Imperial Group,-110.8765562,44.53241446
291,28,Imperial Group,-110.8764622,44.53243216
292,28,Imperial Group,-110.8763662,44.53244285
293,28,Imperial Group,-110.8762692,44.53244643
294,28,Imperial Group,-110.8734191,44.53241592
295,28,Imperial Group,-110.8733221,44.53241234
296,28,Imperial Group,-110.8732261,44.53240165
297,28,Imperial Group,-110.8731321,44.53238395
298,28,Imperial Group,-110.8730412,44.53235944
299,28,Imperial Group,-110.8729543,44.53232837
300,28,Imperial Group,-110.8728724,44.53229108
301,28,Imperial Group,-110.8727962,44.53224795
302,28,Imperial Group,-110.8727266,44.53219945
303,28,Imperial Group,-110.8726644,44.53214609
304,28,Imperial Group,-110.8726102,44.53208844
305,28,Imperial Group,-110.8725645,44.5320271
306,28,Imperial Group,-110.8725279,44.53196273
307,28,Imperial Group,-110.8725008,44.53189601
308,28,Imperial Group,-110.8724834,44.53182765
309,28,Imperial Group,-110.8724759,44.53175836
310,28,Imperial Group,-110.8724784,44.5316889
