Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,API,Conc
26,3,2,4,2,2,558489.9454,4450132.345,4301354026,2632422
26,3,2,4,2,2,558489.9454,4450132.345,4301354026,2632422
26,3,2,4,2,2,558488.7638,4449333.261,4301354026,2632422
26,3,2,4,2,2,558488.2459,4448530.129,4301354026,2632422
26,3,2,4,2,2,558488.2459,4448530.129,4301354026,2632422
25,3,2,5,2,2,550373.6249,4448349.443,4301353968,2532522
25,3,2,5,2,2,550775.1714,4448349.656,4301353968,2532522
25,3,2,5,2,2,551176.7485,4448349.809,4301353968,2532522
25,3,2,5,2,2,551578.3255,4448349.963,4301353968,2532522
25,3,2,5,2,2,551984.0629,4448356.065,4301353968,2532522
25,3,2,5,2,2,551984.0629,4448356.065,4301353968,2532522
25,3,2,5,2,2,551984.0629,4448356.065,4301353968,2532522
25,3,2,5,2,2,551985.5706,4449159.645,4301353968,2532522
25,3,2,5,2,2,551986.8384,4449966.754,4301353968,2532522
25,3,2,5,2,2,551986.8384,4449966.754,4301353968,2532522
25,3,2,5,2,2,551986.8384,4449966.754,4301353968,2532522
25,3,2,5,2,2,551986.8384,4449966.754,4301353968,2532522
25,3,2,5,2,2,551180.9284,4449963.015,4301353968,2532522
25,3,2,5,2,2,550374.9787,4449959.303,4301353968,2532522
25,3,2,5,2,2,550374.9787,4449959.303,4301353968,2532522
25,3,2,5,2,2,550374.9787,4449959.303,4301353968,2532522
25,3,2,5,2,2,550374.9787,4449959.303,4301353968,2532522
25,3,2,5,2,2,550374.0656,4449154.373,4301353968,2532522
25,3,2,5,2,2,550373.1524,4448349.442,4301353968,2532522
25,3,2,5,2,2,550373.1524,4448349.442,4301353968,2532522
35,3,2,2,2,2,577816.809,4447207.989,4301353919,3532222
35,3,2,2,2,2,578219.6873,4447208.454,4301353919,3532222
35,3,2,2,2,2,578622.5655,4447208.919,4301353919,3532222
35,3,2,2,2,2,579028.5858,4447206.836,4301353919,3532222
35,3,2,2,2,2,579434.6061,4447204.753,4301353919,3532222
35,3,2,2,2,2,579434.6061,4447204.753,4301353919,3532222
35,3,2,2,2,2,579433.1688,4447607.01,4301353919,3532222
35,3,2,2,2,2,579431.7315,4448009.266,4301353919,3532222
35,3,2,2,2,2,579430.2942,4448411.523,4301353919,3532222
35,3,2,2,2,2,579428.8569,4448813.779,4301353919,3532222
35,3,2,2,2,2,579428.8569,4448813.779,4301353919,3532222
35,3,2,2,2,2,579025.6853,4448812.321,4301353919,3532222
35,3,2,2,2,2,578621.5261,4448810.887,4301353919,3532222
35,3,2,2,2,2,578220.1617,4448806.67,4301353919,3532222
35,3,2,2,2,2,577818.7973,4448802.453,4301353919,3532222
35,3,2,2,2,2,577818.7973,4448802.453,4301353919,3532222
35,3,2,2,2,2,577818.9323,4448392.921,4301353919,3532222
35,3,2,2,2,2,577819.18,4448008.717,4301353919,3532222
35,3,2,2,2,2,577817.9941,4447608.354,4301353919,3532222
35,3,2,2,2,2,577816.8081,4447207.99,4301353919,3532222
11,2,2,3,2,2,568010.335,4463122.379,4301353798,1122322
11,2,2,3,2,2,568010.335,4463122.379,4301353798,1122322
11,2,2,3,2,2,569620.894,4463127.196,4301353798,1122322
11,2,2,3,2,2,569620.894,4463127.196,4301353798,1122322
11,2,2,3,2,2,569620.894,4463127.196,4301353798,1122322
11,2,2,3,2,2,569620.894,4463127.196,4301353798,1122322
11,2,2,3,2,2,569622.3829,4463527.594,4301353798,1122322
11,2,2,3,2,2,569623.8446,4463927.98,4301353798,1122322
11,2,2,3,2,2,569620.7648,4464329.777,4301353798,1122322
11,2,2,3,2,2,569617.8298,4464717.096,4301353798,1122322
11,2,2,3,2,2,569617.8298,4464717.096,4301353798,1122322
11,2,2,3,2,2,569617.8298,4464717.096,4301353798,1122322
11,2,2,3,2,2,569617.8298,4464717.096,4301353798,1122322
11,2,2,3,2,2,568012.9547,4464718.372,4301353798,1122322
11,2,2,3,2,2,568012.9547,4464718.372,4301353798,1122322
11,2,2,3,2,2,568012.9547,4464718.372,4301353798,1122322
11,2,2,3,2,2,568012.2567,4464321.758,4301353798,1122322
11,2,2,3,2,2,568011.5317,4463925.138,4301353798,1122322
11,2,2,3,2,2,568010.9324,4463523.756,4301353798,1122322
11,2,2,3,2,2,568010.333,4463122.374,4301353798,1122322
13,3,2,5,2,2,550358.0039,4451562.388,4301354007,1332522
13,3,2,5,2,2,550760.252,4451565.021,4301354007,1332522
13,3,2,5,2,2,551162.5002,4451567.654,4301354007,1332522
13,3,2,5,2,2,551564.7483,4451570.286,4301354007,1332522
13,3,2,5,2,2,551966.9964,4451572.919,4301354007,1332522
13,3,2,5,2,2,551966.9964,4451572.919,4301354007,1332522
13,3,2,5,2,2,551966.3282,4451975.959,4301354007,1332522
13,3,2,5,2,2,551965.6599,4452378.998,4301354007,1332522
13,3,2,5,2,2,551964.9943,4452780.43,4301354007,1332522
13,3,2,5,2,2,551964.3287,4453181.861,4301354007,1332522
13,3,2,5,2,2,551964.3287,4453181.861,4301354007,1332522
13,3,2,5,2,2,551560.5388,4453180.299,4301354007,1332522
13,3,2,5,2,2,551156.7489,4453178.737,4301354007,1332522
13,3,2,5,2,2,550752.9584,4453176.926,4301354007,1332522
13,3,2,5,2,2,550349.168,4453175.115,4301354007,1332522
