Section,Township,Township Direction,Range,Range Direction,Baseline,Easting,Northing,Latitude,Longitude,Conc,Version
27,3,2,1,2,2,585369.6844594039,4445982.488870681,40.15986416948711,-109.99755009359498,2703S01WU,V.1
27,3,2,1,2,2,585371.2338870183,4447303.1179617485,40.17176045259886,-109.9973568746292,2703S01WU,V.1
27,3,2,1,2,2,585373.0131878867,4448623.286762694,40.18365254067782,-109.99716090634516,2703S01WU,V.1
27,3,2,1,2,2,585374.7928122227,4449943.695563421,40.19554676537439,-109.99696479091233,2703S01WU,V.1
27,3,2,1,2,2,585376.5724365588,4451264.104364147,40.207440964764594,-109.99676856387056,2703S01WU,V.1
27,3,2,1,2,2,586696.3315800134,4451265.607982426,40.20731907545515,-109.98126261589357,2703S01WU,V.1
27,3,2,1,2,2,588016.0907234681,4451267.1116007045,40.20719510943748,-109.96575676763176,2703S01WU,V.1
27,3,2,1,2,2,589335.8397463235,4451268.717580777,40.207069989900255,-109.95025112537421,2703S01WU,V.1
27,3,2,1,2,2,590655.5887691791,4451270.323560848,40.20694279375593,-109.9347455856312,2703S01WU,V.1
27,3,2,1,2,2,590654.3795860439,4449950.684114833,40.19505570611622,-109.9349458374218,2703S01WU,V.1
27,3,2,1,2,2,590653.1704029086,4448631.04466882,40.183168593163934,-109.93514597363232,2703S01WU,V.1
27,3,2,1,2,2,590652.0632238053,4447310.97513313,40.171277569648296,-109.93534485710241,2703S01WU,V.1
27,3,2,1,2,2,590650.956044702,4445990.905597441,40.1593865208176,-109.93554362549283,2703S01WU,V.1
27,3,2,1,2,2,589331.0777272655,4445964.62163349,40.159291186249924,-109.95104328499191,2703S01WU,V.1
27,3,2,1,2,2,588011.199409829,4445938.337669538,40.15919377594898,-109.96654294566426,2703S01WU,V.1
27,3,2,1,2,2,586691.6115447569,4445912.033889307,40.15909408143435,-109.9820391984909,2703S01WU,V.1
27,3,2,1,2,2,585372.0236796848,4445885.730109076,40.15899231211716,-109.99753544916966,2703S01WU,V.1
6,4,2,3,2,2,561105.4036046645,4444836.430938999,40.15165566658547,-110.28255573644505,0604S03WU,V.1
6,4,2,3,2,2,561105.4036046645,4444836.430938999,40.15165566658547,-110.28255573644505,0604S03WU,V.1
6,4,2,3,2,2,561087.419839847,4447211.1728450395,40.173050649000125,-110.28254169518748,0604S03WU,V.1
6,4,2,3,2,2,561078.6496759205,4448553.124187162,40.185140679450484,-110.28251735810505,0604S03WU,V.1
6,4,2,3,2,2,561090.9700408295,4449868.436486773,40.19698916321177,-110.2822477378276,0604S03WU,V.1
6,4,2,3,2,2,561090.9700408295,4449868.436486773,40.19698916321177,-110.2822477378276,0604S03WU,V.1
6,4,2,3,2,2,564094.9297162716,4449899.472638563,40.19704456610067,-110.24695421097867,0604S03WU,V.1
6,4,2,3,2,2,566702.6344314634,4449926.035469106,40.19708051786519,-110.21631641657176,0604S03WU,V.1
6,4,2,3,2,2,566702.6344314634,4449926.035469106,40.19708051786519,-110.21631641657176,0604S03WU,V.1
6,4,2,3,2,2,566702.6344314634,4449926.035469106,40.19708051786519,-110.21631641657176,0604S03WU,V.1
6,4,2,3,2,2,566727.0231097523,4447322.319689442,40.17362256484991,-110.21629988900983,0604S03WU,V.1
6,4,2,3,2,2,566751.0405014337,4444758.242170919,40.15052163713521,-110.21628349634551,0604S03WU,V.1
6,4,2,3,2,2,566751.0405014337,4444758.242170919,40.15052163713521,-110.21628349634551,0604S03WU,V.1
6,4,2,3,2,2,566751.0405014337,4444758.242170919,40.15052163713521,-110.21628349634551,0604S03WU,V.1
6,4,2,3,2,2,564117.0174573797,4444779.645336397,40.15091962559704,-110.24720456222319,0604S03WU,V.1
6,4,2,3,2,2,561105.4059466277,4444844.511694443,40.1517284647963,-110.28255494291012,0604S03WU,V.1
6,4,2,3,2,2,561105.4059466277,4444844.511694443,40.1517284647963,-110.28255494291012,0604S03WU,V.1
2,2,2,2,2,2,576657.3642884238,4457825.079612974,40.267386881000945,-110.09842876959561,0202S02WU,V.1
2,2,2,2,2,2,576641.65913859,4458118.038949178,40.270027375539954,-110.09857842000008,0202S02WU,V.1
2,2,2,2,2,2,576649.9605306373,4460732.205768508,40.293575670114336,-110.09816790935137,0202S02WU,V.1
2,2,2,2,2,2,576655.8061706751,4462034.302646852,40.305304704870544,-110.09794314467216,0202S02WU,V.1
2,2,2,2,2,2,576661.6518107128,4463336.399525195,40.317033714785524,-110.09771826456515,0202S02WU,V.1
2,2,2,2,2,2,577975.0281949439,4463333.317684196,40.31688436229462,-110.08226250683244,0202S02WU,V.1
2,2,2,2,2,2,579288.404579175,4463330.2358431965,40.31673294536918,-110.066806856658,0202S02WU,V.1
2,2,2,2,2,2,580601.7809634062,4463327.154002197,40.31657946405266,-110.05135131563857,0202S02WU,V.1
2,2,2,2,2,2,581915.1573476373,4463324.072161198,40.31642391838908,-110.03589588537085,0202S02WU,V.1
2,2,2,2,2,2,581922.1222862611,4461894.609129136,40.30354657389668,-110.03599703712949,0202S02WU,V.1
2,2,2,2,2,2,581929.0872248847,4460465.146097075,40.29066920052347,-110.03609810198198,0202S02WU,V.1
2,2,2,2,2,2,581935.4682187092,4459145.021518666,40.278776786233365,-110.03619196153895,0202S02WU,V.1
2,2,2,2,2,2,581941.8492125338,4457824.896940258,40.26688434731209,-110.03628574685595,0202S02WU,V.1
2,2,2,2,2,2,580621.6070781993,4457829.454267076,40.26705366581958,-110.05181045012787,0202S02WU,V.1
2,2,2,2,2,2,579301.3649438648,4457834.011593895,40.267220902086265,-110.06733527103844,0202S02WU,V.1
2,2,2,2,2,2,577979.3725132677,4457829.5379551025,40.26730486620156,-110.08288188964437,0202S02WU,V.1
2,2,2,2,2,2,576657.3800826706,4457825.064316309,40.26738674175729,-110.09842858569013,0202S02WU,V.1
19,3,2,1,1,2,589377.8497904685,4449954.095528418,40.195223433399704,-109.94994029101792,1903S01EU,V.1
19,3,2,1,1,2,589377.8497904685,4449954.095528418,40.195223433399704,-109.94994029101792,1903S01EU,V.1
19,3,2,1,1,2,589398.6923561281,4452417.6973638525,40.21741324720495,-109.949352855478,1903S01EU,V.1
19,3,2,1,1,2,589426.0112828175,4455054.445844149,40.241161966698186,-109.94866462683135,1903S01EU,V.1
19,3,2,1,1,2,589427.9082983035,4455285.698063452,40.243244862076295,-109.94861010037297,1903S01EU,V.1
19,3,2,1,1,2,589427.9082983035,4455285.698063452,40.243244862076295,-109.94861010037297,1903S01EU,V.1
19,3,2,1,1,2,592019.6193852609,4455295.599307921,40.24305324820569,-109.9181434078578,1903S01EU,V.1
19,3,2,1,1,2,594663.0140091386,4455300.930579283,40.242806608617556,-109.88707022125315,1903S01EU,V.1
19,3,2,1,1,2,594663.0140091386,4455300.930579283,40.242806608617556,-109.88707022125315,1903S01EU,V.1
19,3,2,1,1,2,594663.0140091386,4455300.930579283,40.242806608617556,-109.88707022125315,1903S01EU,V.1
19,3,2,1,1,2,594662.2358351467,4452669.62069435,40.21910454209128,-109.88746731536236,1903S01EU,V.1
19,3,2,1,1,2,594657.362443819,4449960.165077135,40.19469891617016,-109.88792354770749,1903S01EU,V.1
19,3,2,1,1,2,594657.362443819,4449960.165077135,40.19469891617016,-109.88792354770749,1903S01EU,V.1
