4300750347,True,NULL,578430.135643689,4399956.513482,4300750347
4301333740,GRID,0.65,544478.36967806,4429804.66356035,4301333740
4301333794,GRID,0.66,545648.217601233,4428271.87024739,4301333794
4301333807,GRID,0.65,546374.622520265,4429378.2257972,4301333807
4301350102,True,NULL,582829.976915583,4445433.04774995,4301350102
4301350102,True,NULL,582829.976915583,4445433.04774995,4301350102
4301350157,True,NULL,573670.570689394,4436872.40556313,4301350157
4301350157,True,NULL,573670.570689394,4436872.40556313,4301350157
4301350242,True,NULL,568210.041433609,4430842.00034109,4301350242
4301350242,True,NULL,568210.041433609,4430842.00034109,4301350242
4301350243,True,NULL,566920.983019807,4429266.98270404,4301350243
4301350243,True,NULL,566920.983019807,4429266.98270404,4301350243
4301350370,Grid,0.94468261,582312.912610816,4416545.07561344,4301350370
4301350370,Grid,0.94468261,582312.912610816,4416545.07561344,4301350370
4301350431,True,NULL,534751.354076568,4437533.11540672,4301350431
4301350431,True,NULL,534751.354076568,4437533.11540672,4301350431
4301350433,True,NULL,572760.003100231,4437045.99813197,4301350433
4301350433,True,NULL,572760.003100231,4437045.99813197,4301350433
4301350440,True,NULL,577624.031951779,4435313.01048856,4301350440
4301350440,True,NULL,577624.031951779,4435313.01048856,4301350440
4301350441,True,NULL,574472.023457802,4432046.99472237,4301350441
4301350441,True,NULL,574472.023457802,4432046.99472237,4301350441
4301350444,True,NULL,579303.960905614,4437120.0187406,4301350444
4301350444,True,NULL,579303.960905614,4437120.0187406,4301350444
4301350465,True,NULL,534095.025790039,4446723.9973634,4301350465
4301350465,True,NULL,534095.025790039,4446723.9973634,4301350465
4301350468,True,NULL,542221.979384338,4442043.95624917,4301350468
4301350468,True,NULL,542221.979384338,4442043.95624917,4301350468
4301350575,True,NULL,537768.979493396,4437276.04684277,4301350575
4301350575,True,NULL,537767.52740705,4437276.59458888,4301350575
4301351890,True,NULL,577924.000830803,4450332.99109305,4301351890
4301351890,True,NULL,577924.000830803,4450332.99109305,4301351890
4301352126,True,NULL,541042.981791737,4439611.98258097,4301352126
4301352126,True,NULL,541042.981791737,4439611.98258097,4301352126
4301352981,True,NULL,568403.972400327,4450221.03319933,4301352981
4301352981,True,NULL,568403.972400327,4450221.03319933,4301352981
4301353111,True,NULL,585260.841287107,4469496.54823644,4301353111
4301353339,True,NULL,584254.018157117,4456731.01939357,4301353339
4301353339,True,NULL,584254.018157117,4456731.01939357,4301353339
4301353401,Grid,0.89,576406.972188977,4444029.05081125,4301353401
4301353401,Grid,0.89,576406.972188977,4444029.05081125,4301353401
4301353402,Grid,0.89,576399.987183377,4444028.98030895,4301353402
4301353402,Grid,0.89,576399.987183377,4444028.98030895,4301353402
4301353408,True,NULL,582214.023043514,4456984.02686529,4301353408
4301353410,True,NULL,582287.997371313,4460029.98610731,4301353410
4301353478,True,1.02,586386.010352457,4450584.98374033,4301353478
4301353479,Grid,0.97,586834.174837396,4450866.65244502,4301353479
4301353480,Grid,0.97,586843.103497418,4450867.42116652,4301353480
4301353482,True,NULL,586341.968484896,4450573.04602601,4301353482
4301353482,True,NULL,586341.968484896,4450573.04602601,4301353482
4301353483,True,NULL,586317.976061324,4450571.99475102,4301353483
4301353483,True,NULL,586317.976061324,4450571.99475102,4301353483
4301353484,True,1.02,586377.338074113,4450598.98303651,4301353484
4301353491,True,NULL,582201.00012754,4456984.99496158,4301353491
4301353502,True,0.91,578137.208343505,4456777.81754249,4301353502
4301353505,True,0.91,578133.296520373,4456777.77699987,4301353505
4301353506,GRID,0.91,578142.473897788,4456778.53817545,4301353506
4301353548,True,NULL,581207.000360669,4460468.18105719,4301353548
4301353556,True,NULL,581188.98067836,4460467.98675114,4301353556
4301353558,True,NULL,581183.964570119,4460468.04368144,4301353558
4301353586,Grid,0.87,572929.02329264,4443960.99841632,4301353586
4301353586,Grid,0.87,572929.02329264,4443960.99841632,4301353586
4301353612,Grid,0.93,581325.989523712,4451312.98522998,4301353612
4301353612,Grid,0.93,581325.989523712,4451312.98522998,4301353612
4301353626,True,0.86,571406.591945817,4457419.95564023,4301353626
4301353640,True,NULL,584527.029408107,4450661.9760711,4301353640
4301353640,True,NULL,584527.029408107,4450661.9760711,4301353640
4301353641,True,NULL,584516.00430999,4450665.96010796,4301353641
4301353641,True,NULL,584516.00430999,4450665.96010796,4301353641
4301353660,True,NULL,567907.023298742,4460087.95487891,4301353660
4301353694,GRID,0.89,574849.633428347,4453464.24835174,4301353694
4301353694,Grid,0.88,574849.769517679,4453464.25303169,4301353694
4301353695,Grid,0.88,574842.218437436,4453462.94595892,4301353695
4301353695,GRID,0.89,574842.215929169,4453462.94149373,4301353695
4301353696,GRID,0.89,574834.68712163,4453461.36157045,4301353696
4301353696,Grid,0.88,574834.670436519,4453461.32810269,4301353696
4301353698,True,NULL,576135.022016692,4460108.02934262,4301353698
4301353700,Grid,0.89,575745.902513933,4453704.09076479,4301353700
4301353700,GRID,0.89,575745.894786425,4453704.01298157,4301353700
4301353701,GRID,0.89,575738.323208263,4453703.93698646,4301353701
4301353701,Grid,0.89,575738.296906285,4453704.01442814,4301353701
4301353702,Grid,0.89,575730.657269106,4453703.93775765,4301353702
4301353703,Grid,0.89,575753.516629002,4453704.16719451,4301353703
4301353703,GRID,0.89,575753.550324298,4453704.20083518,4301353703
4301353704,GRID,0.89,575722.925944083,4453703.67146114,4301353704
4301353704,Grid,0.89,575723.051661519,4453703.86143636,4301353704
4301353706,True,NULL,576136.989965683,4460089.9547138,4301353706
4301353728,Grid,0.92,579126.395045407,4450588.04346242,4301353728
